type,id,title,risk,reason,url,recommended_action
article,jo:1,الصف الاول العربي,thin_content,Content has 8 words; minimum audit threshold is 300.,http://localhost:3000/jo/lesson/articles/1,"Expand the content, merge it with a stronger page, or keep ads disabled on this URL."
article,jo:3,مقاله للتجربة فقط,thin_content,Content has 4 words; minimum audit threshold is 300.,http://localhost:3000/jo/lesson/articles/3,"Expand the content, merge it with a stronger page, or keep ads disabled on this URL."
article,jo:4,التجربة الثالثة على التوالي,thin_content,Content has 7 words; minimum audit threshold is 300.,http://localhost:3000/jo/lesson/articles/4,"Expand the content, merge it with a stronger page, or keep ads disabled on this URL."
article,jo:5,التجربة يا معلم هنا,thin_content,Content has 6 words; minimum audit threshold is 300.,http://localhost:3000/jo/lesson/articles/5,"Expand the content, merge it with a stronger page, or keep ads disabled on this URL."
article,jo:6,الانجليزي يا معلم,thin_content,Content has 2 words; minimum audit threshold is 300.,http://localhost:3000/jo/lesson/articles/6,"Expand the content, merge it with a stronger page, or keep ads disabled on this URL."
article,jo:7,الانجليزي في خطر,thin_content,Content has 6 words; minimum audit threshold is 300.,http://localhost:3000/jo/lesson/articles/7,"Expand the content, merge it with a stronger page, or keep ads disabled on this URL."
article,jo:8,zzzzzzzzzzzzz,thin_content,Content has 1 words; minimum audit threshold is 300.,http://localhost:3000/jo/lesson/articles/8,"Expand the content, merge it with a stronger page, or keep ads disabled on this URL."
article,jo:9,مقال لتجربة هل الامور تمام,thin_content,Content has 7 words; minimum audit threshold is 300.,http://localhost:3000/jo/lesson/articles/9,"Expand the content, merge it with a stronger page, or keep ads disabled on this URL."
post,1:1,شسيبشسيبسي,thin_content,Content has 1 words; minimum audit threshold is 150.,http://localhost:3000/1/posts/1,"Expand the content, merge it with a stronger page, or keep ads disabled on this URL."
post,1:2,ءؤرئءؤرء,thin_content,Content has 1 words; minimum audit threshold is 150.,http://localhost:3000/1/posts/2,"Expand the content, merge it with a stronger page, or keep ads disabled on this URL."
post,alhurani_jo:3,بداية العام الدراسي الجديد 2025-2026,thin_content,Content has 34 words; minimum audit threshold is 150.,http://localhost:3000/alhurani_jo/posts/3,"Expand the content, merge it with a stronger page, or keep ads disabled on this URL."
post,alhurani_jo:4,نصائح للمذاكرة الفعّالة,thin_content,Content has 33 words; minimum audit threshold is 150.,http://localhost:3000/alhurani_jo/posts/4,"Expand the content, merge it with a stronger page, or keep ads disabled on this URL."
post,alhurani_jo:5,دور التكنولوجيا في التعليم الحديث,thin_content,Content has 35 words; minimum audit threshold is 150.,http://localhost:3000/alhurani_jo/posts/5,"Expand the content, merge it with a stronger page, or keep ads disabled on this URL."
post,alhurani_jo:6,الاستعداد للامتحانات النهائية,thin_content,Content has 27 words; minimum audit threshold is 150.,http://localhost:3000/alhurani_jo/posts/6,"Expand the content, merge it with a stronger page, or keep ads disabled on this URL."
post,alhurani_jo:7,أهمية الأنشطة اللاصفية,thin_content,Content has 30 words; minimum audit threshold is 150.,http://localhost:3000/alhurani_jo/posts/7,"Expand the content, merge it with a stronger page, or keep ads disabled on this URL."
post,alhurani_jo:8,التعليم المستمر وأهميته,thin_content,Content has 26 words; minimum audit threshold is 150.,http://localhost:3000/alhurani_jo/posts/8,"Expand the content, merge it with a stronger page, or keep ads disabled on this URL."
post,1:9,سيبلسيبل,thin_content,Content has 2 words; minimum audit threshold is 150.,http://localhost:3000/1/posts/9,"Expand the content, merge it with a stronger page, or keep ads disabled on this URL."
post,1:12,العالم كلوا جديد,thin_content,Content has 8 words; minimum audit threshold is 150.,http://localhost:3000/1/posts/12,"Expand the content, merge it with a stronger page, or keep ads disabled on this URL."
post,1:13,التجربة اكبر دليل على العمل,thin_content,Content has 4 words; minimum audit threshold is 150.,http://localhost:3000/1/posts/13,"Expand the content, merge it with a stronger page, or keep ads disabled on this URL."
post,jo:16,العالم كلوا جديد dee,thin_content,Content has 1 words; minimum audit threshold is 150.,http://localhost:3000/jo/posts/16,"Expand the content, merge it with a stronger page, or keep ads disabled on this URL."
post,jo:17,asdfasdf,thin_content,Content has 1 words; minimum audit threshold is 150.,http://localhost:3000/jo/posts/17,"Expand the content, merge it with a stronger page, or keep ads disabled on this URL."
post,jo:18,ffffffffffffff,thin_content,Content has 1 words; minimum audit threshold is 150.,http://localhost:3000/jo/posts/18,"Expand the content, merge it with a stronger page, or keep ads disabled on this URL."
post,jo:19,لللللللل,thin_content,Content has 1 words; minimum audit threshold is 150.,http://localhost:3000/jo/posts/19,"Expand the content, merge it with a stronger page, or keep ads disabled on this URL."
post,jo:20,تجربة المقالى يا معلم,thin_content,Content has 4 words; minimum audit threshold is 150.,http://localhost:3000/jo/posts/20,"Expand the content, merge it with a stronger page, or keep ads disabled on this URL."
post,jo:21,zertert,thin_content,Content has 2 words; minimum audit threshold is 150.,http://localhost:3000/jo/posts/21,"Expand the content, merge it with a stronger page, or keep ads disabled on this URL."
